dispatching_base_num,avg_minutes_between_rides
B02219,431.0
B02222,630.25
B02228,34.53
B02229,7.46
B02240,171.84
B02243,10.31
B02245,10.12
B02248,46.62
B02249,6.3
B02252,1984.5
B02253,96.25
B02254,100.98
B02265,87.4
B02273,1717.41
B02277,670.47
B02279,5.42
B02285,11.58
B02287,342.29
B02288,245.86
B02292,22.21
B02293,19.63
B02298,54.9
B02301,20.95
B02303,253.33
B02306,28.97
B02308,48.13
B02311,21.74
B02315,12.44
B02316,201.28
B02320,22.2
B02330,58.5
B02331,26.18
B02334,76.48
B02335,47.7
B02338,204.2
B02339,252.5
B02341,516.64
B02342,77.42
B02346,597.58
B02352,11.12
B02355,69.78
B02360,239.2
B02373,247.25
B02376,191.69
B02379,145.2
B02389,78.46
B02391,72.57
B02394,881.84
B02395,0.2
B02397,9.43
B02398,233.75
B02401,44.93
B02406,74.62
B02408,463.41
B02410,35.6
B02416,7.63
B02418,223.68
B02420,29.45
B02423,251.67
B02424,82.7
B02426,47.03
B02429,15.77
B02435,234.11
B02437,1.17
B02440,36.64
B02447,1200.3
B02450,82.19
B02453,717.38
B02460,41.71
B02461,7.79
B02462,51.19
B02463,59.66
B02468,54.34
B02470,70.74
B02471,285.9
B02472,4.29
B02480,709.78
B02485,30.46
B02488,12.86
B02491,81.7
B02496,455.49
B02501,1164.13
B02503,4814.96
B02505,17.09
B02508,1017.24
B02509,66.75
B02510,0.02
B02511,60.69
B02512,1.91
B02515,228.87
B02517,75.65
B02520,61.16
B02521,10.6
B02522,41.54
B02525,36.58
B02531,9.28
B02532,24.9
B02534,5.3
B02535,647.6
B02536,17.04
B02537,3.56
B02538,562.42
B02539,49.73
B02546,2.03
B02547,574.59
B02550,1.37
B02551,4496.87
B02552,17.31
B02553,15.3
B02554,1622.41
B02555,45.88
B02556,382.02
B02557,59.58
B02563,4.45
B02564,5205.32
B02566,38.85
B02569,103.74
B02573,15.69
B02574,24.65
B02585,90.04
B02590,20.39
B02594,31.22
B02597,944.65
B02599,87.54
B02610,242.32
B02611,419.38
B02612,391.78
B02613,24.32
B02614,14.79
B02617,0.25
B02627,289.73
B02629,2582.28
